"             ELEM1","             ELEM2","                 X","                 Y","                 Z","              FLOW","            FLOW_G","            FLOW_L","            FLOW_N","     FDIFF_WATER_L","        FDIFF_O2_L","    FDIFF_Toluen_L"
"                  ","                  ","               (M)","               (M)","               (M)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)","          (MOLE/S)"
"TIME [sec]  0.10000000E+03"
"               f 5","               f 4",  0.55000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44464840450E-004,  0.00000000000E+000,  0.44464840450E-004,  0.00000000000E+000,  0.00000000000E+000, -0.98447204445E-025, -0.97997777763E-035
"               g 5","               g 4",  0.65000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44464840450E-004,  0.00000000000E+000,  0.44464840450E-004,  0.00000000000E+000,  0.00000000000E+000, -0.98447204445E-025, -0.97997777763E-035
"               h 5","               h 4",  0.75000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44464840450E-004,  0.00000000000E+000,  0.44464840450E-004,  0.00000000000E+000,  0.00000000000E+000, -0.98447204445E-025, -0.97997777763E-035
"               i 5","               i 4",  0.85000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44464840450E-004,  0.00000000000E+000,  0.44464840450E-004,  0.00000000000E+000,  0.00000000000E+000, -0.98447204445E-025, -0.97997777763E-035
"               j 5","               j 4",  0.95000000000E+003,  0.50000000000E+000, -0.11500000000E+003,  0.44464840450E-004,  0.00000000000E+000,  0.44464840450E-004,  0.00000000000E+000,  0.00000000000E+000, -0.98447204445E-025, -0.21260890519E-034
"               a 5","               b 5",  0.10000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.26191295423E-036
"               b 5","               c 5",  0.20000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               c 5","               d 5",  0.30000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               d 5","               e 5",  0.40000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               e 5","               f 5",  0.50000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               f 5","               g 5",  0.60000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               g 5","               h 5",  0.70000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               h 5","               i 5",  0.80000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               i 5","               j 5",  0.90000000000E+003,  0.50000000000E+000, -0.11750000000E+003,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.28651907480E-037
"TIME [sec]  0.60000000E+03"
"               a 1","               b 1",  0.10000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000, -0.49224030931E-027
"               b 1","               c 1",  0.20000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               c 1","               d 1",  0.30000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               d 1","               e 1",  0.40000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               e 1","               f 1",  0.50000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               f 1","               g 1",  0.60000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               g 1","               h 1",  0.70000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               h 1","               i 1",  0.80000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000
"               i 1","               j 1",  0.90000000000E+003,  0.50000000000E+000, -0.97500000000E+002,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.00000000000E+000,  0.49224030931E-027
"               a 2","               a 1",  0.50000000000E+002,  0.50000000000E+000, -0.10000000000E+003,  0.15053010394E-003,  0.00000000000E+000,  0.15053010394E-003,  0.00000000000E+000, -0.10101017889E-008, -0.10106143440E-014,  0.10101027996E-008
"               b 2","               b 1",  0.15000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.15053010394E-003,  0.00000000000E+000,  0.15053010394E-003,  0.00000000000E+000, -0.10101017889E-008, -0.10106143440E-014,  0.10101027996E-008
"               c 2","               c 1",  0.25000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.15053010394E-003,  0.00000000000E+000,  0.15053010394E-003,  0.00000000000E+000, -0.10101017889E-008, -0.10106143440E-014,  0.10101027996E-008
"               d 2","               d 1",  0.35000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.15053010394E-003,  0.00000000000E+000,  0.15053010394E-003,  0.00000000000E+000, -0.10101017889E-008, -0.10106143440E-014,  0.10101027996E-008
"               e 2","               e 1",  0.45000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.15053010394E-003,  0.00000000000E+000,  0.15053010394E-003,  0.00000000000E+000, -0.10101017889E-008, -0.10106143440E-014,  0.10101027996E-008
"               f 2","               f 1",  0.55000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.15053010394E-003,  0.00000000000E+000,  0.15053010394E-003,  0.00000000000E+000, -0.10101017889E-008, -0.10106143440E-014,  0.10101027996E-008
"               g 2","               g 1",  0.65000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.15053010394E-003,  0.00000000000E+000,  0.15053010394E-003,  0.00000000000E+000, -0.10101017889E-008, -0.10106143440E-014,  0.10101027996E-008
"               h 2","               h 1",  0.75000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.15053010394E-003,  0.00000000000E+000,  0.15053010394E-003,  0.00000000000E+000, -0.10101017889E-008, -0.10106143440E-014,  0.10101027996E-008
"               i 2","               i 1",  0.85000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.15053010394E-003,  0.00000000000E+000,  0.15053010394E-003,  0.00000000000E+000, -0.10101017889E-008, -0.10106143440E-014,  0.10101027996E-008
"               j 2","               j 1",  0.95000000000E+003,  0.50000000000E+000, -0.10000000000E+003,  0.15053010394E-003,  0.00000000000E+000,  0.15053010394E-003,  0.00000000000E+000, -0.10101017889E-008, -0.10106143440E-014,  0.10101027996E-008
